Date,Open*,High,Low,Close**,Volume,Market Cap
11/24/2021,$0.12,$0.12,$0.11,$0.11,"$50,881,023","$1,144,861,685"
11/23/2021,$0.12,$0.12,$0.11,$0.12,"$50,837,774","$1,169,508,810"
11/22/2021,$0.12,$0.12,$0.11,$0.12,"$53,402,450","$1,170,362,841"
11/21/2021,$0.12,$0.12,$0.12,$0.12,"$54,178,479","$1,219,988,058"
11/20/2021,$0.12,$0.12,$0.12,$0.12,"$62,854,513","$1,246,344,152"
11/19/2021,$0.12,$0.12,$0.11,$0.12,"$75,302,319","$1,253,713,339"
11/18/2021,$0.12,$0.12,$0.11,$0.12,"$131,853,044","$1,170,790,906"
11/17/2021,$0.11,$0.12,$0.11,$0.12,"$58,121,605","$1,175,220,401"
11/16/2021,$0.13,$0.13,$0.11,$0.11,"$80,936,018","$1,148,526,519"
11/15/2021,$0.13,$0.13,$0.12,$0.13,"$53,300,119","$1,273,204,609"
11/14/2021,$0.13,$0.13,$0.13,$0.13,"$83,253,007","$1,312,191,282"
11/13/2021,$0.13,$0.13,$0.12,$0.13,"$53,383,767","$1,305,132,432"
11/12/2021,$0.13,$0.13,$0.12,$0.13,"$60,107,696","$1,260,045,221"
11/11/2021,$0.12,$0.13,$0.12,$0.13,"$65,185,735","$1,283,356,572"
11/10/2021,$0.14,$0.14,$0.11,$0.12,"$100,748,398","$1,241,052,754"
11/9/2021,$0.14,$0.14,$0.13,$0.14,"$88,360,745","$1,367,345,395"
11/8/2021,$0.13,$0.14,$0.13,$0.14,"$87,955,711","$1,370,974,488"
11/7/2021,$0.14,$0.14,$0.13,$0.13,"$55,908,387","$1,342,970,381"
11/6/2021,$0.14,$0.14,$0.13,$0.14,"$72,791,160","$1,374,927,237"
11/5/2021,$0.14,$0.15,$0.13,$0.14,"$108,220,936","$1,365,861,193"
11/4/2021,$0.13,$0.15,$0.13,$0.14,"$298,908,629","$1,451,681,480"
11/3/2021,$0.13,$0.14,$0.12,$0.13,"$207,111,694","$1,342,508,186"
11/2/2021,$0.12,$0.14,$0.12,$0.13,"$221,406,576","$1,277,221,918"
11/1/2021,$0.12,$0.12,$0.12,$0.12,"$96,969,620","$1,202,332,667"
10/31/2021,$0.12,$0.13,$0.11,$0.12,"$233,353,629","$1,207,407,750"
10/30/2021,$0.11,$0.12,$0.11,$0.12,"$71,859,497","$1,149,355,912"
10/29/2021,$0.11,$0.12,$0.11,$0.11,"$50,696,317","$1,131,708,362"
10/28/2021,$0.11,$0.11,$0.11,$0.11,"$69,071,762","$1,106,993,141"
10/27/2021,$0.12,$0.12,$0.10,$0.11,"$93,405,556","$1,049,076,524"
10/26/2021,$0.12,$0.12,$0.12,$0.12,"$65,829,925","$1,181,905,854"
10/25/2021,$0.12,$0.12,$0.12,$0.12,"$55,023,266","$1,214,101,496"
10/24/2021,$0.12,$0.12,$0.12,$0.12,"$72,043,228","$1,181,563,033"
10/23/2021,$0.12,$0.13,$0.12,$0.12,"$182,666,870","$1,209,715,446"
10/22/2021,$0.11,$0.13,$0.11,$0.12,"$225,927,350","$1,197,826,488"
10/21/2021,$0.11,$0.12,$0.11,$0.11,"$68,103,546","$1,083,819,836"
10/20/2021,$0.11,$0.11,$0.11,$0.11,"$55,938,231","$1,110,324,458"
10/19/2021,$0.11,$0.11,$0.11,$0.11,"$60,601,158","$1,050,215,571"
10/18/2021,$0.11,$0.11,$0.10,$0.11,"$44,924,401","$1,047,697,966"
10/17/2021,$0.11,$0.11,$0.10,$0.11,"$41,234,121","$1,059,924,671"
10/16/2021,$0.11,$0.12,$0.11,$0.11,"$57,741,938","$1,078,609,302"
